section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name,id ,condition ,episode
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,Study039,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,9,L2,2
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,Study004,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,5,H1,1
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,Study003,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,5,H2,2
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,Study001,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,5,L2,4
16b63071-e7aa-40c4-821b-5ca9bb42f2bb,cc24ec5d-242e-43a9-acba-34f448d31835,Study041,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,7,H1,1
79e830f8-b75c-4cc8-bb25-676df177ef77,f39bdac0-a37c-4e3c-be41-36b39ef7133a,Study043,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,7,L1,3
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,Study045,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,10,L1,1
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,Study048,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,10,H2,4
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,Study046,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,10,L2,2
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,Study047,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,10,H1,3
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,Study049,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,8,H1,1
